speaker,bigram,n,total,tf,idf,tf_idf
Mark Gordon,invasive species,3,4261,0.003667481662591687,2.8134107167600364,0.010318132213056368
Mark Gordon,trade agreement,3,4261,0.003667481662591687,1.5141277326297755,0.00555303569424123
Mark Gordon,benefit wyoming,2,4261,0.0024449877750611247,3.912023005428146,0.009564848424029696
Mark Gordon,corridor executive,2,4261,0.0024449877750611247,3.912023005428146,0.009564848424029696
Mark Gordon,exposure risk,2,4261,0.0024449877750611247,2.8134107167600364,0.006878754808704246
Mark Gordon,fremont county,2,4261,0.0024449877750611247,3.912023005428146,0.009564848424029696
Mark Gordon,migration corridor,2,4261,0.0024449877750611247,3.912023005428146,0.009564848424029696
Michelle Lujan Grishom,nmgov nmleg,68,21393,0.014011951370286421,3.912023005428146,0.05481507611150092
Michelle Lujan Grishom,nmleg https,35,21393,0.007212033793529775,3.912023005428146,0.028213642116213706
Michelle Lujan Grishom,alltogethernm https,33,21393,0.006799917576756645,3.912023005428146,0.026601433995287204
Michelle Lujan Grishom,nmgov https,27,21393,0.0055635689264372555,3.912023005428146,0.021764809632507716
Michelle Lujan Grishom,bipartisan support,15,21393,0.0030908716257984753,2.120263536200091,0.006553462403256
Michelle Lujan Grishom,extreme risk,15,21393,0.0030908716257984753,2.8134107167600364,0.008695891356150948
Michelle Lujan Grishom,mexico families,14,21393,0.00288481351741191,3.912023005428146,0.011285456846485482
Michelle Lujan Grishom,opportunity scholarship,14,21393,0.00288481351741191,3.912023005428146,0.011285456846485482
Michelle Lujan Grishom,risk protection,14,21393,0.00288481351741191,3.2188758248682006,0.009285856490450198
Michelle Lujan Grishom,childhood trust,12,21393,0.00247269730063878,3.912023005428146,0.009673248725558985
Mike DeWine,inthistogetherohio https,36,32813,0.006577745295084963,3.912023005428146,0.025732290918219124
Mike DeWine,inthistogetherohio stayhomeohio,35,32813,0.006395030147999269,3.912023005428146,0.0250175050593797
Mike DeWine,ohio https,22,32813,0.004019733235885255,3.912023005428146,0.01572528889446724
Mike DeWine,ohiofindithere https,19,32813,0.003471587794628175,3.912023005428146,0.013580931317948982
Mike DeWine,ohio counties,18,32813,0.0032888726475424814,3.912023005428146,0.012866145459109562
Mike DeWine,stayhomeohio https,15,32813,0.002740727206285401,3.912023005428146,0.010721787882591302
Mike DeWine,pbs stations,14,32813,0.0025580120591997078,3.912023005428146,0.010007002023751882
Mike DeWine,age range,13,32813,0.0023752969121140144,3.912023005428146,0.009292216164912461
Mike DeWine,npr affiliates,13,32813,0.0023752969121140144,3.912023005428146,0.009292216164912461
Mike DeWine,ohio's npr,13,32813,0.0023752969121140144,3.912023005428146,0.009292216164912461
Mike Dunleavy,akleg akgov,31,4762,0.03128153380423814,3.912023005428146,0.12237407988725783
Mike Dunleavy,akgov akleg,7,4762,0.007063572149344097,3.912023005428146,0.02763285674873564
Mike Dunleavy,flattenthecurve akgov,7,4762,0.007063572149344097,3.912023005428146,0.02763285674873564
Mike Dunleavy,alaska's public,6,4762,0.006054490413723511,3.912023005428146,0.02368530578463055
Mike Dunleavy,resource development,6,4762,0.006054490413723511,3.912023005428146,0.02368530578463055
Mike Dunleavy,alaska reads,5,4762,0.005045408678102927,3.912023005428146,0.01973775482052546
Mike Dunleavy,officials watch,5,4762,0.005045408678102927,3.2188758248682006,0.016240544020525736
Mike Dunleavy,reads act,5,4762,0.005045408678102927,3.912023005428146,0.01973775482052546
Mike Dunleavy,akgov alaska_dhss,4,4762,0.004036326942482341,3.912023005428146,0.015790203856420368
Mike Dunleavy,akgov https,4,4762,0.004036326942482341,3.912023005428146,0.015790203856420368
Mike Parson,st louis,39,33187,0.004661726033946928,2.5257286443082556,0.011774254975857277
